nombre,poblacion,superficie,continente
Afganistán,43844000,652230,Asia
Alandia,30654,1580,Europa
Albania,2363314,28748,Europa
Alemania,83491249,357114,Europa
Andorra,88406,468,Europa
Angola,36170961,1246700,África
Anguilla,16010,91,América del Norte
Antártida,1300,14000000,Antártida
Antigua y Barbuda,103603,442,América del Norte
Arabia Saudí,35300280,2149690,Asia
Argelia,47400000,2381741,África
Argentina,46735004,2780400,América del Sur
Armenia,3076200,29743,Asia
Aruba,107566,180,América del Norte
Australia,27536874,7692024,Oceanía
Austria,9200931,83871,Europa
Azerbaiyán,10241722,86600,Europa
Bahamas,398165,13943,América del Norte
Bahrein,1594654,765,Asia
Bangladesh,169828911,147570,Asia
Barbados,267800,430,América del Norte
Bélgica,11825551,30528,Europa
Belice,417634,22966,América del Norte
Benín,13224860,112622,África
Bermudas,64055,54,América del Norte
Bielorrusia,9109280,207600,Europa
Bolivia,11365333,1098581,América del Sur
Bosnia y Herzegovina,3422000,51209,Europa
Botswana,2359609,582000,África
Brasil,213421037,8515767,América del Sur
Brunei,455500,5765,Asia
Bulgaria,6437360,110879,Europa
Burkina Faso,24070553,272967,África
Burundi,12332788,27834,África
Bután,784043,38394,Asia
Cabo Verde,491233,4033,África
Camboya,17577760,181035,Asia
Camerún,29442327,475442,África
Canadá,41651653,9984670,América del Norte
Caribe Neerlandés,31980,328,América del Norte
Catar,3173024,11586,Asia
Chad,19340757,1284000,África
Chequia,10882341,78865,Europa
Chile,20206953,756102,América del Sur
China,1408280000,9706961,Asia
Chipre,1442614,9251,Europa
Ciudad del Vaticano,882,0,Europa
Colombia,53057212,1141748,América del Sur
Comoras,919901,1862,África
Congo,6142180,342000,África
Congo (Rep. Dem.),112832000,2344858,África
Corea del Norte,25950000,120538,Asia
Corea del Sur,51159889,100210,Asia
Costa Rica,5309625,51100,América del Norte
Costa de Marfil,31719275,322463,África
Croacia,3866233,56594,Europa
Cuba,9748007,109884,América del Norte
Curazao,156115,444,América del Norte
Dinamarca,6011488,43094,Europa
Djibouti,1066809,23200,África
Dominica,67408,751,América del Norte
Ecuador,18103660,276841,América del Sur
Egipto,107271260,1002450,África
El Salvador,6029976,21041,América del Norte
Emiratos Árabes Unidos,11294243,83600,Asia
Eritrea,3607000,117600,África
Eslovenia,2130638,20273,Europa
España,49315949,505992,Europa
Estados Unidos,340110988,9525067,América del Norte
Estonia,1369995,45227,Europa
Etiopía,111652998,1104300,África
Filipinas,114123600,342353,Asia
Finlandia,5650325,338455,Europa
Fiyi,900869,18272,Oceanía
Francia,66351959,543908,Europa
Gabón,2469296,267668,África
Gambia,2422712,10689,África
Georgia,4000921,69700,Asia
Ghana,33742380,238533,África
Gibraltar,38000,6,Europa
Grecia,10400720,131990,Europa
Grenada,109021,344,América del Norte
Groenlandia,56542,2166086,América del Norte
Guadalupe,378561,1628,América del Norte
Guam,153836,549,Oceanía
Guatemala,18079810,108889,América del Norte
Guayana Francesa,292354,83534,América del Sur
Guernsey,64781,78,Europa
Guinea,14363931,245857,África
